year,start_date,end_date,n_days,max_error,median_error,index_change
2012,2012-08-20,2012-09-24,25,0.0635557508576312,0.0464706850470975,-0.15035643080639327
2018,2018-05-11,2018-06-05,18,0.0768390847370028,0.04621964314719655,-0.015050900737010542
2012,2012-12-25,2013-01-21,18,0.0682953235518653,0.046995888114906806,0.11991132153918316
2018,2018-01-24,2018-02-13,15,0.0717890387400983,0.0504508833182625,-0.018034921607088417
2013,2013-05-10,2013-05-30,15,0.0568073300411925,0.044324448565021,0.08780842645871911
2014,2014-04-29,2014-05-16,11,0.0820104121230541,0.0521890185773371,-0.09705545575224728
2020,2020-03-18,2020-03-31,10,0.0840923271141945,0.06790019671898326,-0.13958514688776102
2018,2018-04-16,2018-05-02,10,0.0731664704624563,0.048773287795484,-0.0853802453606739
2016,2016-01-13,2016-01-26,10,0.0655326426029204,0.041331701746094004,-0.02274941742415093
2014,2014-01-14,2014-01-27,10,0.0596249537309632,0.04672788359457615,0.06841722160790908
2017,2017-12-29,2018-01-12,10,0.0574658961268142,0.0424385810256353,0.06687304930781601
2014,2014-02-07,2014-02-19,9,0.0625379444798453,0.0545002680737524,0.08331363400527869
2012,2012-12-11,2012-12-21,9,0.046225282299565,0.0405656662187538,0.03441935398928586
2020,2020-03-05,2020-03-16,8,0.0744554891251026,0.06824586604489005,-0.1681079433454704
2013,2013-03-08,2013-03-19,8,0.0500556305873032,0.04104585992172355,0.03127388936733033
2015,2015-08-19,2015-08-27,7,0.073213060479611,0.043979353760369,-0.0448699037946898
2014,2014-09-12,2014-09-22,7,0.0629204952041618,0.045450071489904,-0.008186834949205135
2012,2012-06-28,2012-07-06,7,0.0532469525933264,0.0453840538975783,-0.01602683765153634
2018,2018-06-29,2018-07-06,6,0.0713003781391306,0.0636416120454669,-0.06106561311112724
2013,2013-02-20,2013-02-27,6,0.0697956989257362,0.045054075238294855,-0.0561644934031178
2013,2013-01-23,2013-01-30,6,0.0632871681707911,0.05488078634079995,0.08836887868320908
2015,2015-05-14,2015-05-21,6,0.0629459666088223,0.0421800371375865,0.020420946078145708
2014,2014-02-21,2014-02-28,6,0.0601914379047229,0.0581042777746916,0.031872091116403656
2013,2013-02-01,2013-02-08,6,0.0599494152702392,0.04756973178009495,0.04786254676279933
2015,2015-07-01,2015-07-08,6,0.0483596496051177,0.037137612001060846,0.03948464939416674
2018,2018-01-16,2018-01-22,5,0.068289392418228,0.0525041328277438,0.02046396708126541
2018,2018-06-15,2018-06-21,5,0.0666403647977857,0.0429399661719798,-0.0497985025514438
2014,2014-12-15,2014-12-19,5,0.0658647821983322,0.0507712295715463,-0.05139183283411686
2018,2018-07-16,2018-07-20,5,0.0645853376481682,0.0417763880919665,0.04039561997304708
2014,2014-03-31,2014-04-04,5,0.0643321469658984,0.038821390265366,-0.009929845168979878
2016,2016-07-08,2016-07-14,5,0.0613568893168121,0.0481408781663048,-0.008277134117237184
2013,2013-04-08,2013-04-12,5,0.0598219973500817,0.0528558490332215,-0.0269270392135591
2017,2017-05-18,2017-05-24,5,0.0524470772594213,0.0424710674560628,0.02807438236755777
2017,2017-04-28,2017-05-08,5,0.0513053782633504,0.0428121644566999,0.017254598741589966
2014,2014-04-17,2014-04-22,4,0.074016084568575,0.058018735620134945,-0.03131444994993793
2020,2020-01-22,2020-02-03,4,0.0681075182677886,0.0610544908966403,-0.07227116929697497
2013,2013-04-17,2013-04-23,4,0.066975606989581,0.04271233366162045,-0.02145321705581571
2013,2013-03-01,2013-03-06,4,0.0662050318438559,0.047225644763238844,-0.029890644575216063
2018,2018-03-01,2018-03-06,4,0.0655653857305878,0.04735402996302575,0.01636005018427933
2013,2013-06-21,2013-06-26,4,0.0637168559653217,0.0445032430012361,-0.03730046822230604
2016,2016-03-04,2016-03-09,4,0.0529776891111396,0.040987617116479594,0.008608345386711624
2013,2013-08-13,2013-08-16,4,0.0497014527209103,0.0429255645882221,0.02325653979054909
2012,2012-10-30,2012-11-02,4,0.0493670484836911,0.036422487866366204,-0.035141056815704674
2018,2018-12-26,2019-01-02,4,0.0489807636564363,0.0436333316742093,-0.001969166766081276
2012,2012-07-11,2012-07-16,4,0.0485030957352137,0.04058638103888365,0.026730650270401224
2012,2012-06-13,2012-06-18,4,0.045671257842332,0.04015336799202475,0.01949076352420498
2012,2012-06-21,2012-06-26,4,0.0439571308277664,0.0407953254558378,-0.04022977022056495
2018,2018-10-10,2018-10-12,3,0.0714356541633605,0.0407144897151737,-0.031482553185885775
2018,2018-10-30,2018-11-01,3,0.0609009560197591,0.0421303225448354,0.01573273608964798
2014,2014-03-21,2014-03-25,3,0.0587903977808308,0.0544794099492718,0.007588432613770069
2013,2013-12-02,2013-12-04,3,0.0567701350431889,0.039267461001873,0.02103119398642983
2015,2015-04-27,2015-05-05,3,0.0566814502657507,0.038028704759199,-0.019953585694729048
2014,2014-12-26,2014-12-30,3,0.0541487993672489,0.0522268147207796,0.004954660113184239
2016,2016-09-14,2016-09-16,3,0.0540254000108688,0.0401488525909371,-0.008291557088246138
2016,2016-08-12,2016-08-16,3,0.0523818102665246,0.0380236703669653,0.016913591007140516
2013,2013-06-03,2013-06-05,3,0.0518516066949814,0.0418851554859429,-0.013148904788858995
2012,2012-10-12,2012-10-16,3,0.0510172676295041,0.0362442845522309,0.018704135148715162
2016,2016-04-28,2016-05-04,3,0.0494782288325949,0.0474139668513089,0.012848839190136685
2019,2019-02-01,2019-02-12,3,0.0488419043191242,0.0416662901989183,0.025268400390219714
2017,2017-11-01,2017-11-03,3,0.0483429846353828,0.0433781022031325,-0.002499553205665195
2016,2016-12-09,2016-12-13,3,0.0481610378832556,0.0384532450028928,-0.017193612378353706
2017,2017-11-30,2017-12-04,3,0.0481411574117373,0.0455368205322883,0.025375792952864185
2018,2018-04-06,2018-04-10,3,0.0479192322673043,0.0432386854663491,-0.005583036451418999
2018,2018-03-30,2018-04-03,3,0.0472558272420429,0.0428586992959025,0.014217125505566752
2018,2018-10-19,2018-10-23,3,0.0431440272368489,0.039915477670729,-0.024762944237864293
2020,2020-02-27,2020-03-02,3,0.042764274869114,0.0388367779087275,-0.017518476643820335
2014,2014-08-25,2014-08-27,3,0.0425830920721636,0.0369485174305737,0.00957200619081533
2017,2017-05-26,2017-05-30,3,0.0411341164377517,0.0385546877558227,-0.009569186873076507
2018,2018-11-13,2018-11-15,3,0.0408038583409506,0.0404388359514995,-0.009173233782681312
2017,2017-04-12,2017-04-14,3,0.0378498270409181,0.0374270217260344,-0.015708035005293164
2013,2013-07-19,2013-07-23,3,0.0369310716574545,0.036040426325053,-0.008667525640818297
2020,2020-02-21,2020-02-24,2,0.0697852959856389,0.0564951052656396,-0.034669753649226975
2014,2014-12-08,2014-12-09,2,0.0644079490797593,0.057954739367414604,-0.03001909633445854
2014,2014-09-05,2014-09-08,2,0.0639113145065493,0.05015032429364495,0.002415422760979613
2014,2014-06-19,2014-06-20,2,0.0607396596577018,0.05009374489018225,-0.0061103025900314245
2013,2013-03-29,2013-04-01,2,0.0593474536435678,0.0529142908868379,0.017640789653768474
2014,2014-06-05,2014-06-06,2,0.0590317101217806,0.050538669037632655,0.017377945836556385
2016,2016-07-01,2016-07-04,2,0.0585049770714248,0.05023106343578535,0.013017098703593133
2014,2014-05-26,2014-05-27,2,0.0575186631642281,0.0489104920998215,0.018169591153369913
2018,2018-05-08,2018-05-09,2,0.0563625831506214,0.04884640948730505,-0.0024169619576046575
2012,2012-06-01,2012-06-04,2,0.0552542830351738,0.0491209412110037,-0.032075518373255285
2014,2014-04-14,2014-04-15,2,0.0545819757448043,0.05282832877510365,-0.024996136025353666
2020,2020-02-05,2020-02-06,2,0.053029718529433,0.04411779487854795,0.024574108008609485
2015,2015-12-17,2015-12-18,2,0.0523591979406773,0.04809792680898675,-0.010021035138420453
2013,2013-06-11,2013-06-12,2,0.051741710997885,0.045487381439306696,0.0027332859350559513
2013,2013-05-07,2013-05-08,2,0.0512103184300939,0.0462345742867909,-0.005238065734624153
2015,2015-07-20,2015-07-21,2,0.0510482530808075,0.0442992299911565,-0.005665557488601869
2016,2016-08-26,2016-08-29,2,0.0507260303189468,0.047521998065439996,-0.004721588913713104
2018,2018-07-27,2018-07-30,2,0.0500245192786678,0.043707877933047645,0.01643082059396228
2016,2016-08-09,2016-08-10,2,0.0480323747033253,0.0469588430481962,0.014344845447962218
2016,2016-04-20,2016-04-21,2,0.0480159308135625,0.04303585791858485,0.010556662088224034
2012,2012-07-18,2012-07-19,2,0.0471785527886822,0.04282592594681765,0.02303568310461035
2016,2016-07-29,2016-08-01,2,0.0468843458686023,0.0421020087669603,-0.009836139371595887
2014,2014-10-07,2014-10-08,2,0.04640936825308,0.04212352663453185,-0.003009663693737563
2012,2012-11-06,2012-11-07,2,0.046300677896943,0.0452697935688775,0.016370002456775223
2017,2017-11-20,2017-11-21,2,0.046250897005666,0.04074611078249285,0.004431405465751936
2014,2014-05-20,2014-05-21,2,0.0454604174010455,0.0436222854070365,0.02156625965938419
2012,2012-09-28,2012-10-01,2,0.0454148243647068,0.0436028701020404,-0.017701605222053995
2012,2012-07-23,2012-07-24,2,0.045185641926946,0.040570760788978,-0.01913677941326075
2015,2015-03-31,2015-04-01,2,0.0451298182946629,0.0424587114277528,-0.016142948331500095
2012,2012-11-09,2012-11-12,2,0.0450978680746629,0.04177617035275025,0.01649002096565355
2014,2014-07-24,2014-07-25,2,0.0449906209832988,0.0435659510709228,-0.01035630931707765
2015,2015-01-26,2015-01-27,2,0.0449016264174133,0.04307840755209315,-0.003248204649507702
2018,2018-03-09,2018-03-12,2,0.0443092596367931,0.0411962212820071,0.00011666053197267878
2014,2014-03-11,2014-03-12,2,0.0440829959698021,0.04134939517825835,-0.0036768982638043513
2016,2016-08-04,2016-08-05,2,0.0433617556467651,0.04010269208811215,-0.0034936008545243258
2018,2018-03-22,2018-03-23,2,0.0431011439301073,0.03987563190748905,-0.01362164303241542
2018,2018-02-26,2018-02-27,2,0.0426144904922694,0.041237951972288994,0.001096581320841894
2013,2013-10-17,2013-10-18,2,0.0425700121559201,0.0421991841867565,0.0010596346438491722
2014,2014-03-04,2014-03-05,2,0.0424500806257128,0.0399841955091687,0.01394396455897895
2015,2015-01-12,2015-01-13,2,0.0422294202493502,0.0387182933394796,0.010700122815117785
2018,2018-06-26,2018-06-27,2,0.042102282680571,0.0409574941964819,-0.008299331329159276
2016,2016-04-08,2016-04-11,2,0.0418901095632462,0.039437951357103804,0.01168457575474724
2015,2015-07-23,2015-07-24,2,0.0418291655834764,0.0398449625878129,0.010937272707246093
2017,2017-11-14,2017-11-15,2,0.0418282124446705,0.03917970809707175,0.007520893517693805
2017,2017-11-09,2017-11-10,2,0.0413231072190682,0.038902329801930896,0.005511760980870584
2016,2016-09-01,2016-09-05,2,0.0411267741816118,0.03907615581993005,0.0007759666632056739
2013,2013-06-28,2013-07-01,2,0.0408642278052865,0.0401034441209048,-0.008011947787504692
2013,2013-09-06,2013-09-09,2,0.0408605154603719,0.03797490327851835,-0.020593963390250325
2013,2013-09-17,2013-09-18,2,0.0405710201244801,0.0399253810057416,-0.005409917108920914
2018,2018-10-25,2018-10-26,2,0.0405201500281691,0.03925845363228285,-0.008870019342014812
2018,2018-08-07,2018-08-08,2,0.0393758843412796,0.03934776917412815,0.00948950925952552
2018,2018-03-15,2018-03-16,2,0.0393512564711271,0.039066342019941594,0.00553550601870012
2012,2012-12-03,2012-12-04,2,0.0392848752893769,0.0378075317124966,0.006758459659926386
2015,2015-06-10,2015-06-11,2,0.039002091018483,0.0389241371492971,0.013865742292575867
2019,2019-06-27,2019-06-28,2,0.0389749685768037,0.037994866024382554,0.005275603165144416
2016,2016-08-18,2016-08-19,2,0.038705989695154,0.03862289269454765,-0.00406056233855967
2015,2015-10-30,2015-11-02,2,0.0386408023245165,0.0383887009782482,-0.012984109579137981
2016,2016-06-10,2016-06-13,2,0.038624843378784,0.037458217726088955,-0.008448402021657087
2013,2013-09-20,2013-09-23,2,0.0384220003383233,0.0372348083830729,0.009546778059146943
2019,2019-05-30,2019-05-31,2,0.0379669520072638,0.0367485595867037,-0.012648359178111024
2013,2013-10-08,2013-10-09,2,0.0376959343499037,0.03681396269530515,-0.0038081975140178415
2013,2013-10-14,2013-10-15,2,0.0371289982867893,0.036236514520714996,0.005899972504716411
2015,2015-10-21,2015-10-22,2,0.0359522205544636,0.03563384997542015,0.008559805713421076
